%time,field.iTOW,field.fTOW,field.week,field.gpsFix,field.flags,field.ecefX,field.ecefY,field.ecefZ,field.pAcc,field.ecefVX,field.ecefVY,field.ecefVZ,field.sAcc,field.pDOP,field.reserved1,field.numSV,field.reserved2
1626822640695421653,256258250,150821,2167,3,223,-270124102,-429208094,385510050,165,22,9,8,2,277,2,7,91940
1626822640934898105,256258500,150800,2167,3,223,-270124082,-429208086,385510043,168,23,9,8,2,256,2,7,91940
1626822641185573347,256258750,150780,2167,3,223,-270124058,-429208073,385510035,176,23,10,8,2,256,2,7,91940
1626822641441443360,256259000,150759,2167,3,223,-270124036,-429208062,385510027,177,23,10,8,2,277,2,7,91940
1626822641692377772,256259250,150739,2167,3,223,-270124019,-429208055,385510022,177,24,10,8,2,290,2,6,91940
1626822641923599929,256259500,150718,2167,3,223,-270124001,-429208049,385510015,177,24,10,8,2,652,2,5,91940
1626822642177202375,256259750,150698,2167,3,223,-270123986,-429208039,385510010,175,24,10,8,2,651,2,5,91940
1626822642452855178,256260000,150677,2167,3,223,-270123970,-429208029,385510004,172,24,10,8,2,651,2,5,91940
1626822642696005615,256260250,150657,2167,3,223,-270123954,-429208018,385509998,172,24,10,7,2,395,2,6,91940
1626822642946165602,256260500,150637,2167,3,223,-270123937,-429208010,385509994,171,25,10,7,2,277,2,7,91940
1626822643194306607,256260750,150617,2167,3,223,-270123921,-429208002,385509989,169,25,10,7,2,277,2,7,91940
1626822643436793735,256261000,150596,2167,3,223,-270123908,-429207996,385509987,168,25,10,7,2,289,2,6,91940
1626822643695619201,256261250,150575,2167,3,223,-270123894,-429207993,385509985,168,25,10,7,2,289,2,6,91940
1626822643937150034,256261500,150554,2167,3,223,-270123880,-429207991,385509983,168,25,10,7,2,289,2,6,91940
1626822644174915311,256261750,150533,2167,3,223,-270123864,-429207987,385509979,171,25,10,7,2,493,2,5,91940
1626822644387005282,256262000,150468,2167,3,223,-270117165,-429205720,385517046,7140,26,10,7,2,296,2,7,91940
1626822644644914311,256262250,150436,2167,3,223,-270117228,-429206016,385517313,3710,26,10,7,3,189,2,10,91940
1626822644888240748,256262500,150402,2167,3,223,-270117265,-429206333,385517665,2590,26,10,7,3,189,2,10,91940
1626822645199588525,256262750,150381,2167,3,223,-270117236,-429206330,385517693,2221,26,10,7,3,199,2,9,91940
1626822645508310617,256263000,150359,2167,3,223,-270117209,-429206388,385517755,1963,26,10,8,3,206,2,8,91940
1626822645953562298,256263500,150311,2167,3,223,-270117186,-429206525,385517953,1640,26,10,8,3,148,2,10,91940
1626822646267429225,256263750,150289,2167,3,223,-270117154,-429206528,385517982,1505,27,10,8,3,154,2,9,91940
1626822646650109920,256264250,150245,2167,3,223,-270117143,-429206566,385518061,1405,27,10,8,3,145,2,11,91940
1626822646891364264,256264500,150222,2167,3,223,-270117135,-429206590,385518122,1277,27,10,8,3,145,2,11,91940
1626822647138650799,256264750,150196,2167,3,223,-270117110,-429206659,385518325,1208,27,10,8,3,145,2,11,91940
1626822647391768210,256265000,150174,2167,3,223,-270117053,-429206678,385518442,1158,27,10,8,3,145,2,11,91940
1626822647648505562,256265250,150151,2167,3,223,-270116998,-429206676,385518537,1101,27,10,8,3,145,2,11,91940
1626822647886765577,256265500,150128,2167,3,223,-270116941,-429206667,385518618,1054,27,10,8,3,148,2,10,91940
1626822648129022515,256265750,150107,2167,3,223,-270116886,-429206666,385518662,1024,27,10,8,3,148,2,10,91940
1626822648385856192,256266000,150086,2167,3,223,-270116836,-429206649,385518680,993,27,10,8,3,153,2,9,91940
1626822648636706037,256266250,150066,2167,3,223,-270116782,-429206636,385518715,965,27,10,8,3,148,2,10,91940
1626822648932326269,256266500,150045,2167,3,223,-270116741,-429206598,385518721,945,27,10,8,3,245,2,8,91940
1626822649133923229,256266750,150023,2167,3,223,-270116684,-429206575,385518765,928,28,10,8,3,189,2,10,91940
1626822649383650021,256267000,150001,2167,3,223,-270116621,-429206554,385518814,911,28,10,9,3,199,2,9,91940
1626822649640350255,256267250,149981,2167,3,223,-270116548,-429206533,385518867,895,28,10,9,4,199,2,9,91940
1626822649883242599,256267500,149960,2167,3,223,-270116466,-429206514,385518933,879,28,10,9,4,193,2,9,91940
1626822650175240567,256267750,149939,2167,3,223,-270116422,-429206481,385518938,864,28,10,9,4,277,2,7,91940
1626822650439294838,256268000,149919,2167,3,223,-270116375,-429206434,385518935,847,28,10,9,4,277,2,7,91940
1626822650727060980,256268250,149898,2167,3,223,-270116342,-429206418,385518922,835,28,10,9,3,395,2,6,91940
1626822650937842937,256268500,149877,2167,3,223,-270116230,-429206383,385519005,815,29,10,9,3,191,2,9,91940
1626822651247420916,256268750,149855,2167,3,223,-270116192,-429206375,385519027,802,29,10,9,3,228,2,8,91940
1626822651754547580,256269250,149812,2167,3,223,-270116058,-429206341,385519133,788,29,10,9,4,206,2,8,91940
1626822652237436797,256269750,149769,2167,3,223,-270115988,-429206262,385519135,770,29,10,9,3,254,2,7,91940
1626822652470906441,256270000,149748,2167,3,223,-270115868,-429206199,385519231,757,29,10,9,4,273,2,7,91940
1626822652737610104,256270250,149726,2167,3,223,-270115754,-429206156,385519322,811,30,11,10,4,273,2,7,91940
1626822652988107337,256270500,149704,2167,3,223,-270115717,-429206109,385519336,767,30,11,10,4,237,2,7,91940
1626822653171873004,256270750,149683,2167,3,223,-270115678,-429206082,385519343,730,30,11,10,4,237,2,7,91940
1626822653431467515,256271000,149662,2167,3,223,-270115641,-429206040,385519322,712,30,11,10,3,395,2,6,91940
1626822653697105227,256271250,149641,2167,3,223,-270115610,-429206009,385519308,701,30,11,10,3,273,2,7,91940
1626822653938933911,256271500,149620,2167,3,223,-270115582,-429205987,385519294,692,30,11,10,3,273,2,7,91940
1626822654174762278,256271750,149599,2167,3,223,-270115550,-429205944,385519297,683,30,11,10,3,206,2,8,91940
1626822654490335429,256272000,149578,2167,3,223,-270115523,-429205902,385519295,676,30,11,10,3,254,2,7,91940
1626822654755690506,256272250,149557,2167,3,223,-270115493,-429205875,385519303,669,30,11,10,3,228,2,8,91940
1626822655244884900,256272750,149514,2167,3,223,-270115453,-429205844,385519290,662,30,11,10,3,254,2,7,91940
1626822655740894072,256273250,149471,2167,3,223,-270115415,-429205819,385519283,655,31,11,10,3,254,2,7,91940
1626822655939727287,256273500,149450,2167,3,223,-270115384,-429205801,385519284,648,31,11,9,3,228,2,8,91940
1626822656191183114,256273750,149428,2167,3,223,-270115352,-429205781,385519286,639,31,11,9,2,228,2,8,91940
1626822656469896463,256274000,149406,2167,3,223,-270115320,-429205773,385519286,632,31,11,9,2,228,2,8,91940
1626822656690964441,256274250,149384,2167,3,223,-270115291,-429205749,385519279,626,31,11,9,2,237,2,7,91940
1626822656937704004,256274500,149364,2167,3,223,-270115247,-429205689,385519258,618,31,11,9,2,232,2,8,91940
1626822657130877198,256274750,149342,2167,3,223,-270115086,-429205635,385519431,769,31,11,10,3,193,2,9,91940
1626822657454258863,256275000,149321,2167,3,223,-270115058,-429205606,385519417,725,31,11,10,3,277,2,7,91940
1626822657689767759,256275250,149300,2167,3,223,-270115031,-429205579,385519408,680,31,11,9,2,246,2,8,91940
1626822657937976823,256275500,149279,2167,3,223,-270115004,-429205557,385519402,639,32,11,9,2,246,2,8,91940
1626822658172328097,256275750,149257,2167,3,223,-270114978,-429205537,385519397,609,32,11,9,2,254,2,7,91940
1626822658381032825,256276000,149235,2167,3,223,-270114830,-429205512,385519592,834,32,11,10,3,206,2,9,91940
1626822658694537512,256276250,149214,2167,3,223,-270114791,-429205462,385519585,780,32,11,10,2,226,2,9,91940
1626822658934528529,256276500,149194,2167,3,223,-270114752,-429205415,385519581,736,32,11,10,2,226,2,9,91940
1626822659188626259,256276750,149174,2167,3,223,-270114707,-429205348,385519567,694,32,11,10,2,226,2,9,91940
1626822659456447609,256277000,149154,2167,3,223,-270114670,-429205294,385519546,658,32,11,10,2,277,2,7,91940
1626822659696298703,256277250,149134,2167,3,223,-270114629,-429205219,385519514,621,32,11,9,2,277,2,7,91940
1626822659916211001,256277500,149115,2167,3,223,-270114595,-429205152,385519480,591,32,11,9,2,489,2,5,91940
1626822660185632812,256277750,149095,2167,3,223,-270114559,-429205081,385519442,558,32,11,9,2,395,2,6,91940
1626822660441581672,256278000,149075,2167,3,223,-270114522,-429205019,385519420,531,32,11,9,2,228,2,8,91940
1626822660691621260,256278250,149055,2167,3,223,-270114487,-429204964,385519404,511,32,11,9,2,228,2,8,91940
1626822660933448501,256278500,149035,2167,3,223,-270114452,-429204909,385519383,488,33,11,9,2,246,2,8,91940
1626822661188634351,256278750,149014,2167,3,223,-270114417,-429204855,385519364,477,33,11,9,2,246,2,8,91940
1626822661434152486,256279000,148994,2167,3,223,-270114383,-429204796,385519336,469,33,11,9,2,277,2,7,91940
1626822661694359924,256279250,148974,2167,3,223,-270114350,-429204740,385519312,462,33,11,9,2,277,2,7,91940
1626822661930126068,256279500,148954,2167,3,223,-270114314,-429204685,385519295,455,33,11,9,2,232,2,8,91940
1626822662189016643,256279750,148933,2167,3,223,-270114284,-429204640,385519277,449,33,11,9,1,277,2,7,91940
1626822662436630670,256280000,148912,2167,3,223,-270114249,-429204589,385519260,440,33,11,9,1,246,2,8,91940
1626822662689483821,256280250,148892,2167,3,223,-270114207,-429204521,385519232,428,33,11,9,1,246,2,8,91940
1626822662933524777,256280500,148872,2167,3,223,-270114168,-429204450,385519201,417,33,11,9,1,277,2,7,91940
1626822663181978433,256280750,148850,2167,3,223,-270114143,-429204421,385519186,414,33,11,9,1,395,2,6,91940
1626822663438436454,256281000,148829,2167,3,223,-270114118,-429204393,385519173,411,33,11,9,1,395,2,6,91940
1626822663686364893,256281250,148808,2167,3,223,-270114094,-429204364,385519159,407,33,11,9,1,395,2,6,91940
1626822663935573996,256281500,148786,2167,3,223,-270114068,-429204342,385519150,405,33,11,9,1,254,2,7,91940
1626822664190207914,256281750,148764,2167,3,223,-270114045,-429204325,385519145,404,33,11,9,1,277,2,7,91940
1626822664445706439,256282000,148742,2167,3,223,-270114025,-429204308,385519143,402,33,11,9,1,277,2,7,91940
1626822664698859836,256282250,148719,2167,3,223,-270114006,-429204298,385519144,401,33,11,9,1,277,2,7,91940
1626822664940909318,256282500,148696,2167,3,223,-270113986,-429204286,385519146,400,33,11,9,1,277,2,7,91940
1626822665174624992,256282750,148674,2167,3,223,-270113967,-429204280,385519148,399,33,11,9,1,289,2,6,91940
1626822665434582864,256283000,148651,2167,3,223,-270113949,-429204271,385519154,397,33,11,9,1,289,2,6,91940
1626822665687602318,256283250,148628,2167,3,223,-270113931,-429204260,385519151,396,33,11,9,1,488,2,5,91940
1626822665927178845,256283500,148606,2167,3,223,-270113911,-429204246,385519146,395,34,11,9,1,488,2,5,91940
1626822666178998944,256283750,148583,2167,3,223,-270113892,-429204227,385519140,394,34,11,9,1,488,2,5,91940
1626822666444110865,256284000,148561,2167,3,223,-270113872,-429204205,385519132,393,34,11,9,1,488,2,5,91940
1626822666689267173,256284250,148538,2167,3,223,-270113849,-429204194,385519131,391,34,11,9,1,289,2,6,91940
1626822666934077457,256284500,148515,2167,3,223,-270113827,-429204174,385519123,390,34,11,9,1,289,2,6,91940
1626822667181385246,256284750,148493,2167,3,223,-270113804,-429204154,385519116,389,34,11,9,1,289,2,6,91940
1626822667437302801,256285000,148470,2167,3,223,-270113782,-429204133,385519111,388,34,11,9,1,289,2,6,91940
1626822667696456851,256285250,148448,2167,3,223,-270113759,-429204111,385519104,387,34,11,9,1,289,2,6,91940
1626822667943372400,256285500,148426,2167,3,223,-270113726,-429204061,385519080,384,34,11,9,1,395,2,6,91940
1626822668186323053,256285750,148404,2167,3,223,-270113694,-429204015,385519059,381,34,11,9,1,395,2,6,91940
1626822668439887009,256286000,148382,2167,3,223,-270113671,-429203987,385519044,379,34,11,9,1,395,2,6,91940
1626822668692906832,256286250,148359,2167,3,223,-270113649,-429203962,385519031,377,34,11,9,1,395,2,6,91940
