%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1626822626636993480,8406,1626822626636834629,gps_base,0,1,37.4265939,-122.18449389999999,5.8340000000000005,0.37332099999999996,0.0,0.0,0.0,0.37332099999999996,0.0,0.0,0.0,0.9273689999999999,2
1626822626881914108,8407,1626822626881721772,gps_base,0,1,37.426595899999995,-122.1844931,5.801,0.37576899999999996,0.0,0.0,0.0,0.37576899999999996,0.0,0.0,0.0,0.9292959999999999,2
1626822627186068819,8408,1626822627185919255,gps_base,0,1,37.4265976,-122.18449299999999,5.774,0.378225,0.0,0.0,0.0,0.378225,0.0,0.0,0.0,0.933156,2
1626822627463383111,8409,1626822627463062837,gps_base,0,1,37.426599599999996,-122.1844931,5.756,0.380689,0.0,0.0,0.0,0.380689,0.0,0.0,0.0,0.937024,2
1626822627702181158,8410,1626822627701906032,gps_base,0,1,37.4266017,-122.1844928,5.703,0.383161,0.0,0.0,0.0,0.383161,0.0,0.0,0.0,0.937024,2
1626822628063286758,8411,1626822628063154715,gps_base,0,1,37.4266025,-122.18449269999999,5.646,0.386884,0.0,0.0,0.0,0.386884,0.0,0.0,0.0,0.9409,2
1626822628592306359,8412,1626822628592177925,gps_base,0,1,37.426603799999995,-122.1844912,5.547,0.393129,0.0,0.0,0.0,0.393129,0.0,0.0,0.0,0.948676,2
1626822628962414079,8413,1626822628962329374,gps_base,0,1,37.4266055,-122.18448939999999,5.4830000000000005,0.399424,0.0,0.0,0.0,0.399424,0.0,0.0,0.0,0.9603999999999999,2
1626822629263448821,8414,1626822629263329949,gps_base,0,1,37.4266068,-122.18448769999999,5.392,0.400689,0.0,0.0,0.0,0.400689,0.0,0.0,0.0,0.962361,2
1626822629841722937,8415,1626822629841515791,gps_base,0,1,37.4266082,-122.1844871,5.321,0.408321,0.0,0.0,0.0,0.408321,0.0,0.0,0.0,0.972196,2
1626822630387907174,8416,1626822630387608015,gps_base,0,1,37.426609,-122.1844861,5.242,0.41473600000000005,0.0,0.0,0.0,0.41473600000000005,0.0,0.0,0.0,0.9840639999999999,2
1626822630879115920,8417,1626822630878938066,gps_base,0,1,37.4266098,-122.18448479999999,5.159,0.42250000000000004,0.0,0.0,0.0,0.42250000000000004,0.0,0.0,0.0,0.994009,2
1626822631364928727,8418,1626822631364760742,gps_base,0,1,37.4266106,-122.1844835,5.025,0.42902500000000005,0.0,0.0,0.0,0.42902500000000005,0.0,0.0,0.0,1.004004,2
1626822631753324175,8419,1626822631752979721,gps_base,0,1,37.426612,-122.1844821,4.8100000000000005,0.43560000000000004,0.0,0.0,0.0,0.43560000000000004,0.0,0.0,0.0,1.012036,2
1626822632251032242,8420,1626822632250844521,gps_base,0,1,37.4266128,-122.1844806,4.651,0.44222500000000003,0.0,0.0,0.0,0.44222500000000003,0.0,0.0,0.0,1.0221209999999998,2
1626822632751256058,8421,1626822632751025359,gps_base,0,1,37.4266138,-122.1844795,4.515,0.45024100000000006,0.0,0.0,0.0,0.45024100000000006,0.0,0.0,0.0,1.032256,2
1626822633254479159,8422,1626822633254360496,gps_base,0,1,37.4266147,-122.1844782,4.347,0.45697600000000005,0.0,0.0,0.0,0.45697600000000005,0.0,0.0,0.0,1.0424409999999997,2
1626822633754727209,8423,1626822633754589187,gps_base,0,1,37.4266157,-122.18447719999999,4.2010000000000005,0.4651240000000001,0.0,0.0,0.0,0.4651240000000001,0.0,0.0,0.0,1.052676,2
1626822634246581266,8424,1626822634246436221,gps_base,0,1,37.4266168,-122.18447619999999,4.047,0.47334399999999993,0.0,0.0,0.0,0.47334399999999993,0.0,0.0,0.0,1.0629609999999998,2
1626822634756904127,8425,1626822634756791868,gps_base,0,1,37.4266177,-122.1844747,3.89,0.48163599999999995,0.0,0.0,0.0,0.48163599999999995,0.0,0.0,0.0,1.0753689999999998,2
1626822635186854028,8426,1626822635186679855,gps_base,0,1,37.4266186,-122.18447289999999,3.704,0.48860099999999995,0.0,0.0,0.0,0.48860099999999995,0.0,0.0,0.0,1.0857640000000002,2
1626822635443836019,8427,1626822635443731225,gps_base,0,1,37.426619099999996,-122.1844715,3.5,0.4914009999999999,0.0,0.0,0.0,0.4914009999999999,0.0,0.0,0.0,1.089936,2
1626822635692640302,8428,1626822635692506472,gps_base,0,1,37.426619599999995,-122.1844701,3.297,0.49420899999999995,0.0,0.0,0.0,0.49420899999999995,0.0,0.0,0.0,1.0920249999999998,2
1626822635934512028,8429,1626822635934348172,gps_base,0,1,37.426620199999995,-122.18446879999999,3.128,0.49702499999999994,0.0,0.0,0.0,0.49702499999999994,0.0,0.0,0.0,1.0962089999999998,2
1626822636185352627,8430,1626822636185203307,gps_base,0,1,37.426620799999995,-122.1844673,2.9210000000000003,0.5505639999999999,0.0,0.0,0.0,0.5505639999999999,0.0,0.0,0.0,1.2122009999999999,2
1626822636453219835,8431,1626822636453012367,gps_base,0,1,37.4266216,-122.184466,2.704,0.597529,0.0,0.0,0.0,0.597529,0.0,0.0,0.0,1.3133159999999997,2
1626822636696214878,8432,1626822636696009570,gps_base,0,1,37.4266224,-122.18446519999999,2.475,0.6115240000000001,0.0,0.0,0.0,0.6115240000000001,0.0,0.0,0.0,1.3363359999999997,2
1626822636938629294,8433,1626822636938412947,gps_base,0,1,37.4266231,-122.1844642,2.287,0.6193690000000001,0.0,0.0,0.0,0.6193690000000001,0.0,0.0,0.0,1.3502439999999998,2
1626822637187384395,8434,1626822637187220877,gps_base,0,1,37.426623899999996,-122.1844632,2.062,0.6528640000000001,0.0,0.0,0.0,0.6528640000000001,0.0,0.0,0.0,1.4161,2
1626822637456271589,8435,1626822637456045086,gps_base,0,1,37.4266248,-122.1844624,1.848,0.6789759999999999,0.0,0.0,0.0,0.6789759999999999,0.0,0.0,0.0,1.4665210000000002,2
